+----------------------------------------------------------------+
|   №  |  Элемент               |   Информация                   |
+----------------------------------------------------------------+
|  1     |#include                           |PREPROCESSOR DIRECTIVE                              
|  1     |<iostream>                         |HEADER FILE                                         
|  3     |int                                |DATA TYPE                                           
|  3     |main                               |FUNCTION (INT)                                      
|  3     |(                                  |PARENTHESIS                                         
|  3     |)                                  |PARENTHESIS                                         
|  3     |{                                  |PARENTHESIS                                         
|  4     |int                                |DATA TYPE                                           
|  4     |arr                                |ARRAY (int)                                         
|  4     |[                                  |PARENTHESIS                                         
|  4     |]                                  |PARENTHESIS                                         
|  4     |[                                  |PARENTHESIS                                         
|  4     |]                                  |PARENTHESIS                                         
|  4     |=                                  |ASSIGNMENT OPERATOR                                 
|  4     |{                                  |PARENTHESIS                                         
|  4     |{                                  |PARENTHESIS                                         
|  4     |1                                  |INTEGER                                             
|  4     |,                                  |COMA                                                
|  4     |2                                  |INTEGER                                             
|  4     |,                                  |COMA                                                
|  4     |3                                  |INTEGER                                             
|  4     |}                                  |PARENTHESIS                                         
|  4     |,                                  |COMA                                                
|  4     |{                                  |PARENTHESIS                                         
|  4     |4                                  |INTEGER                                             
|  4     |,                                  |COMA                                                
|  4     |5                                  |INTEGER                                             
|  4     |,                                  |COMA                                                
|  4     |6                                  |INTEGER                                             
|  4     |}                                  |PARENTHESIS                                         
|  4     |,                                  |COMA                                                
|  4     |{                                  |PARENTHESIS                                         
|  4     |7                                  |INTEGER                                             
|  4     |,                                  |COMA                                                
|  4     |8                                  |INTEGER                                             
|  4     |,                                  |COMA                                                
|  4     |9                                  |INTEGER                                             
|  4     |}                                  |PARENTHESIS                                         
|  4     |,                                  |COMA                                                
|  4     |}                                  |PARENTHESIS                                         
|  4     |;                                  |END OF CONSTRUCTION                                 
|  5     |for                                |KEYWORD                                             
|  5     |(                                  |PARENTHESIS                                         
|  5     |int                                |DATA TYPE                                           
|  5     |i                                  |VARIABLE (INT)                                      
|  5     |=                                  |ASSIGNMENT OPERATOR                                 
|  5     |0                                  |INTEGER                                             
|  5     |;                                  |END OF CONSTRUCTION                                 
|  5     |i                                  |VARIABLE (INT)                                      
|  5     |<                                  |COMPARISON OPERATOR                                 
|  5     |3                                  |INTEGER                                             
|  5     |;                                  |END OF CONSTRUCTION                                 
|  5     |++                                 |ARITHMETIC OPERATOR                                 
|  5     |i                                  |VARIABLE (INT)                                      
|  5     |)                                  |PARENTHESIS                                         
|  5     |{                                  |PARENTHESIS                                         
|  7     |for                                |KEYWORD                                             
|  7     |(                                  |PARENTHESIS                                         
|  7     |int                                |DATA TYPE                                           
|  7     |j                                  |VARIABLE (INT)                                      
|  7     |=                                  |ASSIGNMENT OPERATOR                                 
|  7     |0                                  |INTEGER                                             
|  7     |;                                  |END OF CONSTRUCTION                                 
|  7     |j                                  |VARIABLE (INT)                                      
|  7     |<                                  |COMPARISON OPERATOR                                 
|  7     |3                                  |INTEGER                                             
|  7     |;                                  |END OF CONSTRUCTION                                 
|  7     |++                                 |ARITHMETIC OPERATOR                                 
|  7     |j                                  |VARIABLE (INT)                                      
|  7     |)                                  |PARENTHESIS                                         
|  7     |{                                  |PARENTHESIS                                         
|  8     |int                                |DATA TYPE                                           
|  8     |k                                  |VARIABLE (INT)                                      
|  8     |;                                  |END OF CONSTRUCTION                                 
|  9     |}                                  |PARENTHESIS                                         
|  10    |int                                |DATA TYPE                                           
|  10    |i                                  |VARIABLE (INT)                                      
|  10    |;                                  |END OF CONSTRUCTION                                 
|  11    |k                                  |VARIABLE (INT)                                      
|  11    |=                                  |ASSIGNMENT OPERATOR                                 
|  11    |9                                  |INTEGER                                             
|  11    |;                                  |END OF CONSTRUCTION                                 
|  12    |cout                               |KEYWORD                                             
|  12    |<<                                 |OPERATOR                                            
|  12    |endl                               |KEYWORD                                             
|  12    |;                                  |END OF CONSTRUCTION                                 
|  13    |}                                  |PARENTHESIS                                         
|  14    |return                             |KEYWORD                                             
|  14    |0                                  |INTEGER                                             
|  14    |;                                  |END OF CONSTRUCTION                                 
|  15    |}                                  |PARENTHESIS                                         
+----------------------------------------------------------------+
